Pathway Name | Pathway Frame-id | Pathway Class | Pathway Class Frame-id | Pathway Frequency Score | Pathway Score | Pathway URL
inosine-5'-phosphate biosynthesis II|PWY-6124|Inosine-5'-phosphate Biosynthesis|IMP-Biosynthesis|1.2|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6124
inositol pyrophosphates biosynthesis|PWY-6369|||1.4444444|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6369
isoleucine biosynthesis I (from threonine)|ILEUSYN-PWY|Isoleucine Biosynthesis|ISOLEUCINE-SYN|3.4|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ILEUSYN-PWY
isoleucine degradation I|ILEUDEG-PWY|Isoleucine Degradation|ISOLEUCINE-DEG|1.1666666|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=ILEUDEG-PWY
isoleucine degradation II|PWY-5078|Isoleucine Degradation|ISOLEUCINE-DEG|3.0|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5078
itaconate biosynthesis|PWY-5750|||1.5|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5750
ketogenesis|PWY66-367|||3.6|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY66-367
ketolysis|PWY66-368|||6.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY66-368
lactose degradation III|BGALACT-PWY|Lactose Degradation|LACTOSE-DEG|11.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=BGALACT-PWY
lanosterol biosynthesis|PWY-6132|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6132
leucine biosynthesis|LEUSYN-PWY|Leucine Biosynthesis|LEUCINE-SYN|2.3333333|0.8333333|http://biocyc.org/META/new-image?type=PATHWAY&object=LEUSYN-PWY
leucine degradation I|LEU-DEG2-PWY|Leucine Degradation|LEUCINE-DEG|1.1666666|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=LEU-DEG2-PWY
leucine degradation III|PWY-5076|Leucine Degradation|LEUCINE-DEG|4.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5076
linamarin degradation|PWY-3121|||11.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3121
lipoate biosynthesis and incorporation I|PWY0-501|Lipoate Biosynthesis|Lipoate-Biosynthesis|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-501
lysine biosynthesis IV|LYSINE-AMINOAD-PWY|Lysine Biosynthesis|LYSINE-SYN|0.8888889|0.7777778|http://biocyc.org/META/new-image?type=PATHWAY&object=LYSINE-AMINOAD-PWY
lysine degradation VI|PWY-5298|Lysine Degradation|LYSINE-DEG|1.3333334|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5298
mannitol degradation I|MANNIDEG-PWY|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=MANNIDEG-PWY
melibiose degradation|PWY0-1301|||8.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1301
methanesulfonate degradation|PWY-6044|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6044
methanol oxidation to formaldehyde I|PWY-5506|Methanol Oxidation|Methanol-Oxidation|3.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5506
methionine biosynthesis II|PWY-702|Methionine Biosynthesis|METHIONINE-SYN|1.3333334|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-702
methionine degradation I (to homocysteine)|METHIONINE-DEG1-PWY|Methionine Degradation|METHIONINE-DEG|0.6666667|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=METHIONINE-DEG1-PWY
methionine degradation III|PWY-5082|Methionine Degradation|METHIONINE-DEG|2.3333333|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5082
methyl parathion degradation|PWY-5489|||3.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5489
methylglyoxal degradation I|PWY-5386|Methylglyoxal Detoxification|Methylglyoxal-Detoxification|2.3333333|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5386
methylglyoxal degradation V|PWY-5458|Methylglyoxal Detoxification|Methylglyoxal-Detoxification|1.0|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5458
methylsalicylate degradation|PWY-6184|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6184
mevalonate pathway I|PWY-922|||3.5714285|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-922
mixed acid fermentation|FERMENTATION-PWY|||1.3125|0.6875|http://biocyc.org/META/new-image?type=PATHWAY&object=FERMENTATION-PWY
molybdenum cofactor biosynthesis II (eukaryotes)|PWY-6823|Molybdenum Cofactor Biosynthesis|Molybdenum-Cofactor-Biosynthesis|0.14285715|0.14285715|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6823
neurosporaxanthin biosynthesis|PWY-6681|||0.14285715|0.14285715|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6681
nitrate reduction V (assimilatory)|PWY-5675|Nitrate Reduction|Nitrate-Reduction|1.8|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5675
oleate biosynthesis II (animals)|PWY-5996|Oleate Biosynthesis|Oleate-Biosynthesis|2.0|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5996
oligomeric urushiol biosynthesis|PWY-5787|||3.3333333|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5787
ornithine degradation I (proline biosynthesis)|ORN-AMINOPENTANOATE-CAT-PWY|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ORN-AMINOPENTANOATE-CAT-PWY
oxalate degradation V|PWY-6698|Oxalate Degradation|Oxalate-Degradation|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6698
palmitate biosynthesis I (animals)|PWY-5994|Palmitate Biosynthesis|Palmitate-Biosynthesis|1.4827586|0.51724136|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5994
palmitoleate biosynthesis II|PWY-5366|Palmitoleate Biosynthesis|Palmitoleate-Biosynthesis|1.0|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5366
paraoxon degradation|PWY-5490|||3.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5490
penicillin K biosynthesis|PWY-5630|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5630
pentose phosphate pathway (non-oxidative branch)|NONOXIPENT-PWY|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=NONOXIPENT-PWY
pentose phosphate pathway (oxidative branch)|OXIDATIVEPENT-PWY|||1.6666666|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=OXIDATIVEPENT-PWY
pentose phosphate pathway (partial)|P21-PWY|||1.6666666|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=P21-PWY
phenol degradation I (aerobic)|PWY-5418|Phenol Degradation|Phenol-Degradation|11.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5418
phenylalanine degradation I (aerobic)|PHENYLALANINE-DEG1-PWY|Phenylalanine Degradation|PHENYLALANINE-DEG|0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PHENYLALANINE-DEG1-PWY
phenylalanine degradation II (anaerobic)|ANAPHENOXI-PWY|Phenylalanine Degradation|PHENYLALANINE-DEG|0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=ANAPHENOXI-PWY
phenylalanine degradation III|PWY-5079|Phenylalanine Degradation|PHENYLALANINE-DEG|1.75|0.25|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5079
phenylethanol biosynthesis|PWY-5751|||1.75|0.25|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5751
phosphate acquisition|PWY-6348|||13.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6348
phosphate utilization in cell wall regeneration|PWY-6357|||13.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6357
phosphatidylcholine biosynthesis I|PWY3O-450|Phosphatidylcholine Biosynthesis|PhosphatidylcholineBiosynthesis|1.0|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY3O-450
phosphatidylcholine biosynthesis V|PWY-6825|Phosphatidylcholine Biosynthesis|PhosphatidylcholineBiosynthesis|1.0|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6825
phosphatidylethanolamine biosynthesis I|PWY-5669|Phosphatidylethanolamine Biosynthesis|PhosphatidylethanolamineBiosynthesis|4.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5669
phosphatidylethanolamine biosynthesis II|PWY4FS-6|Phosphatidylethanolamine Biosynthesis|PhosphatidylethanolamineBiosynthesis|0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY4FS-6
phospholipases|LIPASYN-PWY|||2.2|0.6|http://biocyc.org/META/new-image?type=PATHWAY&object=LIPASYN-PWY
phosphopantothenate biosynthesis I|PANTO-PWY|Pantothenate Biosynthesis|Pantothenate-Biosynthesis|1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PANTO-PWY
proline biosynthesis I|PROSYN-PWY|Proline Biosynthesis|PROLINE-SYN|1.75|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=PROSYN-PWY
proline biosynthesis II (from arginine)|PWY-4981|Proline Biosynthesis|PROLINE-SYN|0.8333333|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4981
proline degradation|PROUT-PWY|Proline Degradation|PROLINE-DEG|3.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PROUT-PWY
purine ribonucleosides degradation to ribose-1-phosphate|PWY0-1296|Purine Nucleotides Degradation|Purine-Degradation|1.3333334|0.8333333|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1296
putrescine biosynthesis III|PWY-46|Putrescine Biosynthesis|Putrescine-Biosynthesis|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-46
pyridoxal 5'-phosphate biosynthesis II|PWY-6466|Vitamin B6 Biosynthesis|Vitamin-B6-Biosynthesis|4.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6466
pyridoxal 5'-phosphate salvage pathway|PLPSAL-PWY|Vitamin B6 Biosynthesis|Vitamin-B6-Biosynthesis|2.2|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PLPSAL-PWY
pyrimidine deoxyribonucleotides de novo biosynthesis I|PWY0-166|Pyrimidine Deoxyribonucleotides De Novo Biosynthesis|Pyrimid-Deoxyribonucleot-De-Novo-Biosyn|0.46153846|0.46153846|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-166
pyrimidine ribonucleotides interconversion|PWY-5687|||2.090909|0.45454547|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5687
pyruvate fermentation to acetate VIII|PWY-5768|Pyruvate Fermentation|Pyruvate-Degradation|0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5768
quinate degradation II|PWY-6416|Quinate Degradation|Quinate-Degradation|2.6666667|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6416
respiration (anaerobic)|ANARESP1-PWY|||1.0|0.61538464|http://biocyc.org/META/new-image?type=PATHWAY&object=ANARESP1-PWY
rhamnogalacturonan type I degradation I (fungi)|PWY-6769|Rhamnogalacturonan Type I Degradation|Rhamnogalacturonan-Degradation|0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6769
rutin degradation|PWY-6848|||0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6848
salicylate degradation I|PWY-6183|Salicylate Degradation|Salicylate-Degradation|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6183
salvage pathways of pyrimidine ribonucleotides|PWY0-163|||0.75|0.625|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-163
seed germination protein turnover|PWY-6018|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6018
selenocysteine biosynthesis II (archaea and eukaryotes)|PWY-6281|Selenocysteine Biosynthesis|Selenocysteine-Biosynthesis|0.5|0.25|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6281
serine biosynthesis|SERSYN-PWY|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=SERSYN-PWY
serine racemization|PWY-6196|||2.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6196
siroheme biosynthesis|PWY-5194|||0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5194
sitosterol biosynthesis|PWY-6424|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6424
sorbitol degradation I|PWY-4101|||7.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4101
spermidine biosynthesis I|BSUBPOLYAMSYN-PWY|Spermidine Biosynthesis|Spermidine-Biosynthesis|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=BSUBPOLYAMSYN-PWY
sphingolipid metabolism|SPHINGOLIPID-SYN-PWY|||1.2142857|0.42857143|http://biocyc.org/META/new-image?type=PATHWAY&object=SPHINGOLIPID-SYN-PWY
sphingomyelin metabolism|PWY3DJ-11281|||3.6666667|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY3DJ-11281
sphingosine and sphingosine-1-phosphate metabolism|PWY3DJ-11470|||1.4|0.4|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY3DJ-11470
sulfate activation for sulfonation|PWY-5340|||0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5340
sulfate reduction III (assimilatory)|PWY-6683|Sulfate Reduction|Sulfate-Reduction|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6683
superoxide radicals degradation|DETOX1-PWY|||6.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=DETOX1-PWY
tRNA charging|TRNA-CHARGING-PWY|||2.15|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=TRNA-CHARGING-PWY
tRNA methylation (yeast)|PWY-6829|||0.85714287|0.2857143|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6829
tRNA splicing|PWY-6689|||0.6|0.4|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6689
taurine degradation IV|PWY0-981|Taurine Degradation|Taurine-degradation|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-981
tetrahydrofolate biosynthesis|PWY-6614|Folate Biosynthesis|Folate-Biosynthesis|0.6666667|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6614
tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate|PWY-6613|Folate Biosynthesis|Folate-Biosynthesis|1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6613
tetrapyrrole biosynthesis II|PWY-5189|Tetrapyrrole Biosynthesis|Tetrapyrrole-Biosynthesis|1.5|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5189
thioredoxin pathway|THIOREDOX-PWY|||0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=THIOREDOX-PWY
threonine biosynthesis from homoserine|HOMOSER-THRESYN-PWY|Threonine Biosynthesis|THREONINE-BIOSYNTHESIS|1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=HOMOSER-THRESYN-PWY
threonine degradation IV|PWY-5436|Threonine Degradation|THREONINE-DEG|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5436
trehalose biosynthesis I|TRESYN-PWY|Trehalose Biosynthesis|Trehalose-biosynthesis|2.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=TRESYN-PWY
trehalose degradation II (trehalase)|PWY0-1182|Trehalose Degradation|Trehalose-Degradation|2.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1182
triacylglycerol biosynthesis|TRIGLSYN-PWY|||1.0|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=TRIGLSYN-PWY
triacylglycerol degradation|LIPAS-PWY|||3.0|0.25|http://biocyc.org/META/new-image?type=PATHWAY&object=LIPAS-PWY
tryptophan biosynthesis|TRPSYN-PWY|Tryptophan Biosynthesis|TRYPTOPHAN-BIOSYNTHESIS|1.6666666|0.8333333|http://biocyc.org/META/new-image?type=PATHWAY&object=TRPSYN-PWY
tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde|PWY-5651|Tryptophan Degradation|TRYPTOPHAN-DEG|1.2|0.6|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5651
tyrosine biosynthesis I|TYRSYN|Tyrosine Biosynthesis|TYROSINE-SYN|1.0|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=TYRSYN
tyrosine degradation I|TYRFUMCAT-PWY|Tyrosine Degradation|TYROSINE-DEG|1.6|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=TYRFUMCAT-PWY
tyrosine degradation III|PWY3O-4108|Tyrosine Degradation|TYROSINE-DEG|1.75|0.25|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY3O-4108
urate biosynthesis/inosine 5'-phosphate degradation|PWY-5695|Purine Nucleotides Degradation|Purine-Degradation|1.75|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5695
urate degradation to allantoin|PWY-5691|Urate Degradation|Urate-Degradation|0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5691
urea degradation II|PWY-5704|Urea Degradation|Urea-Degradation|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5704
uridine-5'-phosphate biosynthesis|PWY-5686|||2.6666667|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5686
valine biosynthesis|VALSYN-PWY|Valine Biosynthesis|VALINE-BIOSYNTHESIS|3.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=VALSYN-PWY
valine degradation I|VALDEG-PWY|Valine Degradation|VALINE-DEG|1.0|0.625|http://biocyc.org/META/new-image?type=PATHWAY&object=VALDEG-PWY
valine degradation II|PWY-5057|Valine Degradation|VALINE-DEG|4.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5057
very long chain fatty acid biosynthesis|PWY-5080|Fatty Acid Biosynthesis|Fatty-acid-biosynthesis|0.25|0.25|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5080
wound-induced proteolysis I|PWY-5988|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5988
xanthine and xanthosine salvage|SALVPURINE2-PWY|Purine Nucleotide Salvage|Purine-Nucleotides-Salvage|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=SALVPURINE2-PWY
xyloglucan degradation I (endoglucanase)|PWY-6791|Xyloglucan Degradation|Xyloglucan-Degradation|5.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6791
xyloglucan degradation II (exoglucanase)|PWY-6807|Xyloglucan Degradation|Xyloglucan-Degradation|5.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6807
xylose degradation I|XYLCAT-PWY|Xylose Degradation|Xylose-Degradation|3.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=XYLCAT-PWY
zymosterol biosynthesis|PWY-6074|||4.4166665|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6074
